Frame,SimTime(ms),RenderTime(ms),MemcpyTime(ms),TotalFrame(ms),FPS
0,0.9192,0.0723,0.6443,5.6690,176.3979
10,0.0276,0.0348,0.4072,6.8447,146.0984
20,0.0284,0.0349,0.5297,6.3591,157.2550
30,0.0284,0.0352,0.5055,5.7420,174.1553
40,0.0287,0.0365,0.5247,6.7996,147.0675
50,0.0317,0.0355,0.4532,6.7953,147.1605
60,0.0284,0.0350,0.5860,7.0659,141.5248
70,0.0282,0.0369,0.6764,6.5287,153.1698
80,0.0276,0.0482,0.4709,6.5712,152.1792
90,0.0287,0.0353,0.6242,7.4764,133.7542
100,0.0287,0.0364,0.8822,7.9280,126.1352
110,0.0287,0.5749,0.7107,7.0405,142.0354
120,0.0298,0.0362,1.5363,6.8222,146.5803
130,0.0287,0.0351,0.5230,7.1827,139.2234
140,0.0288,0.0348,0.4908,5.9523,168.0023
150,0.0287,0.0348,0.4168,6.8710,145.5392
160,0.0287,0.0352,0.4995,6.8671,145.6219
170,0.0291,0.0349,0.4080,6.0562,165.1200
180,0.0279,0.0412,0.6028,6.9019,144.8876
190,0.0285,0.0348,0.8006,7.0786,141.2709
200,0.0287,0.1032,0.4334,7.4004,135.1278
210,0.0289,0.0425,0.5979,6.5967,151.5909
220,0.0286,0.0348,0.7627,6.3019,158.6823
230,0.0287,0.0411,0.6241,7.3706,135.6742
240,0.0284,0.0336,0.7551,6.7103,149.0246
250,0.0287,0.0427,0.5497,7.3615,135.8419
260,0.0285,0.0353,0.4600,6.4607,154.7820
270,0.0297,0.0348,0.4307,6.8410,146.1775
280,0.0287,0.0342,0.7906,7.6872,130.0864
290,0.0286,0.0384,0.8784,6.9244,144.4169
300,0.0307,0.0328,0.4529,6.8101,146.8407
310,0.0307,0.0333,0.6509,6.7520,148.1043
320,0.0314,0.0331,0.6876,6.9697,143.4782
330,0.0410,0.0619,0.5752,7.4128,134.9018
340,0.0307,0.0422,0.5393,7.0309,142.2293
350,0.0311,0.0348,0.4842,6.6946,149.3741
360,0.0307,0.0425,0.5968,5.9862,167.0509
370,0.0321,0.0343,0.5258,8.3431,119.8595
380,0.0543,0.0428,0.6934,6.3337,157.8856
390,0.0312,0.0338,0.5105,7.6746,130.2999
400,0.0308,0.0346,0.7258,6.8187,146.6555
410,0.0348,0.0690,0.5593,7.1788,139.2990
420,0.0316,0.0372,0.4748,6.9319,144.2606
430,0.0766,0.0445,0.5633,7.5433,132.5680
440,0.0309,0.0433,0.7691,6.8487,146.0131
450,0.0317,0.0348,1.0717,6.8150,146.7351
460,0.0324,0.0435,0.5917,6.6545,150.2742
470,0.0322,0.0348,0.6912,6.9009,144.9086
480,0.0311,0.0400,0.5953,6.8442,146.1091
490,0.0308,0.0429,0.5839,6.3824,156.6809
500,0.0312,0.0412,0.6613,7.6783,130.2372
510,0.0322,0.0383,0.5445,7.2982,137.0201
520,0.0364,0.1222,0.5343,6.8944,145.0453
530,0.0366,0.0402,0.4660,6.8397,146.2052
540,0.0313,0.0339,0.4781,6.4717,154.5189
550,0.0329,0.0333,0.7505,6.8688,145.5858
